id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,instrumentalness,vocal_intensity,lyrical_complexity
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,2020,0.05,0.75,0.35
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,55,2020,0.85,0.10,0.05
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,62,2000,0.10,0.85,0.45
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,48,2010,0.90,0.05,0.05
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,84,2010,0.02,0.80,0.30
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,35,2020,0.95,0.05,0.10
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,40,1990,0.55,0.45,0.55
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,58,1980,0.30,0.55,0.35
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,50,2020,0.88,0.08,0.05
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,66,2010,0.08,0.78,0.40
11,Golden Hour Drive,Rustic Wilds,folk,nostalgic,0.45,96,0.68,0.50,0.62,44,1990,0.20,0.60,0.60
12,Concrete Kingdom,MC Solstice,hip hop,confident,0.72,94,0.63,0.85,0.08,80,2010,0.03,0.90,0.75
13,Velvet Room,Marlowe Grey,r&b,romantic,0.55,84,0.70,0.66,0.30,60,2000,0.15,0.82,0.50
14,Iron Cathedral,Grimhold,metal,aggressive,0.97,152,0.30,0.55,0.03,52,2000,0.05,0.92,0.55
15,Moonlit Waltz,Elena Voss,classical,melancholic,0.30,66,0.35,0.20,0.95,25,1980,0.98,0.02,0.15
16,Harvest Sunset,Rustic Wilds,country,uplifting,0.58,104,0.74,0.61,0.55,47,1990,0.12,0.70,0.45
17,Neon Sermon,Grimhold,industrial,mysterious,0.80,124,0.38,0.52,0.06,38,2010,0.25,0.65,0.60
18,Island Drift,Coral Static,reggae,relaxed,0.48,88,0.72,0.70,0.40,45,1990,0.18,0.68,0.35
19,Basement Groove,Funk Dispatch,funk,playful,0.70,108,0.79,0.90,0.15,42,1980,0.10,0.75,0.30
20,Glass Horizon,Aurora Halden,electronic,dreamy,0.62,122,0.58,0.68,0.28,56,2020,0.60,0.40,0.20
